CustomerID,Gender,Age,Annual_Income_k,Spending_Score
33554,Female,60,71.26,11.01
9428,Female,34,16.55,12.91
200,Male,31,22.22,23.67
12448,Female,27,35.94,28.22
39490,Male,46,74.57,79.01
42725,Male,47,134.95,81.26
10823,Female,34,22.81,29.7
49499,Male,31,72.51,77.76
4145,Male,20,39.04,23.56
36959,Female,54,125.92,13.24
43107,Male,30,73.77,85.69
38696,Male,47,71.32,90.32
6189,Female,23,22.67,9.55
1415,Male,32,37.02,2.93
18472,Male,23,23.58,72.02
29283,Male,57,132.32,29.96
15178,Male,21,31.61,81.18
34305,Male,51,134.4,5.66
12610,Male,19,37.69,70.9
12145,Female,31,23.53,31.54
6114,Male,28,30.1,11.1
15909,Male,27,22.1,71.43
822,Female,31,30.55,39.71
15119,Male,25,32.82,71.08
13467,Female,21,38.1,93.76
26498,Male,40,102.66,39.77
42112,Female,33,93.59,94.74
30189,Female,44,92.98,6.32
37238,Male,65,78.59,20.96
33110,Female,42,123.88,7.4
36481,Female,49,124.68,23.98
24149,Male,23,16.41,73.87
5504,Female,29,31.18,34.05
3919,Female,29,25.12,17.73
38479,Female,40,81.08,60.16
21124,Male,19,30.29,86.43
49718,Female,31,104.89,73.24
42295,Female,38,73.61,72.35
47610,Female,45,72.99,72.05
11077,Male,20,25.88,14.16
41515,Female,47,93.63,74.94
22063,Female,18,22.13,77.2
9414,Female,25,26.92,29.92
38341,Female,28,98.0,65.08
30264,Male,58,93.47,22.02
41253,Male,30,71.61,68.33
14645,Male,18,27.43,67.56
26336,Male,35,102.23,36.02
28103,Male,40,106.42,14.83
17524,Male,26,39.99,78.16
24713,Female,23,37.4,62.76
40486,Female,42,76.72,95.49
3851,Female,34,19.59,35.85
40041,Female,48,84.07,66.08
15268,Male,26,18.34,64.05
49147,Male,32,96.54,78.04
30002,Male,60,129.27,23.33
45927,Male,39,113.74,60.16
43825,Male,34,82.81,89.2
17241,Male,27,32.17,83.77
4893,Male,25,29.65,12.05
726,Male,22,27.76,25.44
22950,Female,29,20.51,66.72
34658,Female,61,73.27,30.85
37214,Male,58,84.24,22.5
20305,Female,19,23.37,90.78
15270,Female,21,30.67,90.74
22368,Female,23,26.02,82.97
42685,Male,31,72.19,60.86
46735,Male,34,91.91,67.07
11733,Male,28,15.42,6.73
18620,Female,22,36.6,94.99
48493,Female,38,76.03,86.78
26804,Female,67,115.25,7.4
44306,Female,29,109.02,95.77
47523,Male,26,113.14,97.62
32208,Female,55,103.26,2.22
2531,Female,27,20.33,16.02
17747,Female,21,39.07,87.16
8271,Female,32,34.52,37.19
15080,Female,25,31.37,74.19
13625,Female,28,34.24,71.23
30639,Male,63,128.62,22.31
30441,Male,45,75.53,38.35
36057,Male,66,74.06,35.99
42652,Female,39,131.52,90.88
36804,Female,38,122.48,5.22
48225,Female,37,130.26,64.17
29227,Female,60,99.24,8.8
5634,Male,24,19.27,9.57
5988,Male,18,28.07,27.26
48064,Male,41,106.46,91.78
1813,Male,18,26.11,6.52
27579,Male,45,94.42,9.97
16824,Male,23,30.63,91.5
3929,Male,20,21.09,3.04
37287,Male,62,109.36,13.24
25046,Male,43,80.06,20.99
15728,Male,23,23.56,87.99
29601,Female,65,128.72,15.27
10431,Male,28,38.7,7.96
25769,Male,66,136.19,37.24
29104,Female,54,114.57,10.39
36538,Male,66,78.13,7.67
39329,Female,47,106.76,75.11
35540,Female,66,110.78,26.59
