CustomerID,Gender,Age,Annual_Income_k,Spending_Score,KMeans_Cluster,DBSCAN_Cluster,Income_Category,Spending_Category,Age_Group,Customer_Value
33554,Female,60,71.26,11.01,0,0,Medium,Low,Middle-aged,41.135000000000005
9428,Female,34,16.55,12.91,3,1,Low,Low,Adult,14.73
200,Male,31,22.22,23.67,3,1,Low,Low,Adult,22.945
12448,Female,27,35.94,28.22,3,1,Low,Low,Adult,32.08
39490,Male,46,74.57,79.01,2,2,Medium,High,Middle-aged,76.78999999999999
42725,Male,47,134.95,81.26,2,2,High,High,Middle-aged,108.10499999999999
10823,Female,34,22.81,29.7,3,1,Low,Low,Adult,26.255
49499,Male,31,72.51,77.76,2,2,Medium,High,Adult,75.135
4145,Male,20,39.04,23.56,3,1,Low,Low,Young,31.299999999999997
36959,Female,54,125.92,13.24,0,0,High,Low,Middle-aged,69.58
43107,Male,30,73.77,85.69,2,2,Medium,High,Adult,79.72999999999999
38696,Male,47,71.32,90.32,2,2,Medium,High,Middle-aged,80.82
6189,Female,23,22.67,9.55,3,1,Low,Low,Young,16.11
1415,Male,32,37.02,2.93,3,1,Low,Low,Adult,19.975
18472,Male,23,23.58,72.02,1,3,Low,High,Young,47.8
29283,Male,57,132.32,29.96,0,0,High,Low,Middle-aged,81.14
15178,Male,21,31.61,81.18,1,3,Low,High,Young,56.395
34305,Male,51,134.4,5.66,0,0,High,Low,Middle-aged,70.03
12610,Male,19,37.69,70.9,1,3,Low,High,Young,54.295
12145,Female,31,23.53,31.54,3,1,Low,Low,Adult,27.535
6114,Male,28,30.1,11.1,3,1,Low,Low,Adult,20.6
15909,Male,27,22.1,71.43,1,3,Low,High,Adult,46.765
822,Female,31,30.55,39.71,3,1,Low,Medium,Adult,35.13
15119,Male,25,32.82,71.08,1,3,Low,High,Young,51.95
13467,Female,21,38.1,93.76,1,3,Low,High,Young,65.93
26498,Male,40,102.66,39.77,0,0,High,Medium,Adult,71.215
42112,Female,33,93.59,94.74,2,2,High,High,Adult,94.16499999999999
30189,Female,44,92.98,6.32,0,0,High,Low,Middle-aged,49.650000000000006
37238,Male,65,78.59,20.96,0,0,Medium,Low,Senior,49.775000000000006
33110,Female,42,123.88,7.4,0,0,High,Low,Middle-aged,65.64
36481,Female,49,124.68,23.98,0,0,High,Low,Middle-aged,74.33
24149,Male,23,16.41,73.87,1,3,Low,High,Young,45.14
5504,Female,29,31.18,34.05,3,1,Low,Medium,Adult,32.614999999999995
3919,Female,29,25.12,17.73,3,1,Low,Low,Adult,21.425
38479,Female,40,81.08,60.16,2,2,High,Medium,Adult,70.62
21124,Male,19,30.29,86.43,1,3,Low,High,Young,58.36
49718,Female,31,104.89,73.24,2,2,High,High,Adult,89.065
42295,Female,38,73.61,72.35,2,2,Medium,High,Adult,72.97999999999999
47610,Female,45,72.99,72.05,2,2,Medium,High,Middle-aged,72.52
11077,Male,20,25.88,14.16,3,1,Low,Low,Young,20.02
41515,Female,47,93.63,74.94,2,2,High,High,Middle-aged,84.285
